地市	x1​(万人)	x2​(%)	x3​(亿元)	x4​(%)	x5​(亿元)	x6​(亿元)	x7​(元)	x8​(%)	x9​(元)	x10​(%)
苏州	624.43	65.5	5700.85	7.4	1704.27	1250.05	21260	37.9	10475	35.7
无锡	461.74	67.3	3858.54	9.1	1180.74	1134.75	20899	39.8	10026	37.6
常州	357.38	69.9	1881.28	18.6	748.89	610.85	19235	38.5	9033	38
南京	617.17	74.9	2833.11	11	1443.4	1380.46	20317	35.3	8020	37.4
镇江	268.78	49.9	1025.24	24.5	363.73	331.36	17765	38.7	7668	39.4
南通	766.13	48.6	2119.35	35.1	633.94	736.54	16451	38.5	6905	37.9
扬州	450.68	47.3	1811.35	35.3	438.35	418.9	15057	37.9	6586	38.9
盐城	500.7	46.1	1201.86	32.3	347.73	321.07	14940	43.1	6469	38.1
泰州	450.5	45.1	1679.56	36	769.59	543.01	14875	34.9	5534	39.9
徐州	940.95	48.5	1876.86	36.2	409.56	249.08	13254	38.9	4823	43.7
连云港	482.23	40.5	618.16	38.4	394.91	269.4	12164	38.9	5010	43.2
淮安	539.09	43.9	765.23	32.4	470.06	433.74	13857	38.5	6092	41.7
宿迁	531.53	34.1	542	32	256.18	158.87	9468	42.4	4783	46
