时间	成本加成定价	销量	成本加成定价	销量	成本加成定价	销量	成本加成定价	销量	成本加成定价	销量	成本加成定价	销量
2020/7/1	8.13808	54.548	12.925	4.119	3.91264	14.748	20.4876	7.693	4.2004	17.713	15.2964	34.554
2020/7/2	8.5376	1.667	12.925	4.342	6.8172	11.556	22.53636	17.345	4.2004	17.767	10.5354	13.834
2020/7/3	8.13808	32.351	12.925	9.572	12.784	3.478	22.53636	15.29	7.4249	17.553	9.3648	15.616
2020/7/4	8.5376	3.948	12.925	3.107	4.40172	9.638	7.2401	16.702	4.2004	24.022	15.2964	42.815
2020/7/5	12.936	8.475	12.925	4.019	9.22	34.249	22.53636	18.406	4.2004	24.423	15.2964	42.365
2020/7/6	15.4252	10.36	12.925	3.089	4.8908	14.098	22.53636	13.35	8.4856	8.96	15.2964	24.434
2020/7/7	8.5664	8.51	12.925	3.117	6.7686	28.214	7.86068	16.797	8.4856	14.6	10.5354	22.699
2020/7/8	15.4252	20.043	16.8864	8.239	17.2144	5.33	22.53636	14.827	8.4856	18.588	10.5354	20.792
2020/7/9	13.9596	1.252	12.925	2.106	17.2144	3.761	7.86068	14.091	13.3128	7.755	15.2964	25.205
2020/7/10	27.31188	3.835	16.8864	6.45	6.5052	17.277	10.505	11.479	4.2004	15.025	15.2964	27.932
2020/7/11	10.708	23.279	16.8864	7.464	5.681	23.588	22.53636	19.213	4.2004	34.252	8.1942	39.843
2020/7/12	10.708	37.995	16.8864	9.317	17.2144	6.829	22.53636	15.752	4.2004	23.87	8.1942	30.925
2020/7/13	11.633	1.654	12.925	3.098	6.7686	25.289	15.2586	1.309	4.2004	16.132	15.2964	15.624
2020/7/14	8.5376	2.608	12.925	1.323	4.5448	11.935	8.2744	13.652	4.2004	15.705	7.0236	30.354
2020/7/15	9.6372	35.74	13.82574	8.422	6.7686	43.618	8.2744	12.858	8.4856	13.849	7.0236	19.162
2020/7/16	12.936	5.059	16.8864	8.467	11.525	25.015	19.7802	1.897	8.4856	7.693	7.0236	16.071
2020/7/17	9.6372	27.92	16.8864	7.809	6.5052	16.789	12.606	11.403	11.094	13.39	15.2964	25.149
2020/7/18	10.708	26.14	16.8864	8.575	4.5448	8.314	22.53636	22.47	4.83046	23.755	15.2964	35.15
2020/7/19	10.708	43.211	16.8864	8.667	4.96364	76.615	22.53636	33.406	6.25813	35.706	7.0236	31.561
2020/7/20	9.9162	21.283	16.8864	7.122	4.5448	13.142	22.53636	13.335	8.4856	14.362	7.0236	30.62
2020/7/21	9.6372	28.999	16.8864	7.829	4.5448	11.029	22.53636	11.977	5.35551	9.284	7.0236	26.942
2020/7/22	8.8144	34.669	15.51	2.521	5.421	38.136	22.53636	14.979	11.094	14.121	7.0236	26.442
2020/7/23	8.8144	10.339	15.51	2.314	4.8908	14.448	15.2586	3.063	11.094	11.645	15.2964	17.907
2020/7/24	8.11072	2.796	16.8864	8.286	5.421	29.818	9.92928	10.405	5.88056	3.656	9.3648	19.162
2020/7/25	9.6372	64.439	16.8864	8.529	17.2144	8.235	20.03232	19.229	8.4856	12.684	15.2964	28.771
2020/7/26	8.8144	13.76	39.4479	2.57	11.525	54.457	22.53636	23.106	8.43144	18.053	15.2964	35.36
2020/7/27	22.12848	2.275	12.6648	13.548	13.83	26.238	15.2586	1.804	2.55162	15.266	15.2964	21.696
2020/7/28	9.6372	41.195	12.6648	11.93	9.096	11.58	10.343	14.589	9.5463	17.651	9.3648	17.746
2020/7/29	9.6372	56.242	18.095	2.067	9.096	20.644	10.505	14.294	8.8752	14.113	9.3648	16.519
2020/7/30	9.6372	30.611	12.6648	10.008	8.7544	34.776	10.505	11.155	9.5463	18.286	9.3648	22.837
2020/7/31	22.12848	2.795	11.6094	17.846	13.83	19.111	22.53636	10.265	9.5463	14.177	9.3648	21.682
2020/8/1	28.37742	1.16	11.6094	19.736	9.096	37.297	3.7555	5	8.4856	15.69	15.2964	29.784
2020/8/2	8.8144	11.218	39.4479	0.864	7.6704	4.85	3.7555	5	7.4249	25.3	15.2964	27.125
2020/8/3	9.6372	61.151	39.4479	0.902	9.096	8.511	6.25164	2	7.4249	16.565	15.2964	22.77
2020/8/4	9.6372	54.463	11.6094	23.401	13.83	17.016	10.343	14.069	8.8752	11.117	15.2964	21.353
2020/8/5	9.6372	50.57	15.51	1.552	5.681	25.766	3.7555	7	8.4856	17.772	9.3648	27.404
2020/8/6	16.9376	2.754	11.6094	18.206	13.83	20.564	10.343	13.491	8.4856	20.692	9.3648	29.517
2020/8/7	9.6372	53.052	15.51	2.103	5.681	7.352	19.7802	1.635	8.8752	11.982	9.3648	20.856
2020/8/8	9.6372	74.014	15.51	1.586	10.1529	35.347	20.4876	15.141	4.2428	40.254	15.2964	25.77
2020/8/9	6.4032	3.728	15.51	2.312	5.681	10.904	10.343	11.976	6.3006	9.197	15.2964	36.037
2020/8/10	10.708	52.251	15.51	1.62	11.525	24.445	22.53636	11.581	6.6564	14.719	15.2964	28.181
2020/8/11	12.7032	2.418	15.51	1.043	9.2488	35.505	10.505	10.97	6.6564	7.913	10.5354	28.922
2020/8/12	8.5376	2.795	10.554	22.016	4.5448	11.962	10.343	6.396	8.4856	13.66	10.5354	23.922
2020/8/13	10.708	33.73	10.554	16.416	9.096	25.285	19.7802	1.947	8.4856	13.735	14.2038	23.005
2020/8/14	10.586	2.392	10.554	20.886	4.98732	38.198	10.343	13.069	8.4856	23.571	14.2038	25.977
2020/8/15	10.708	60.187	9.28752	22.39	4.09032	9.13	22.53636	14.662	6.3006	8.932	9.3648	70.22
2020/8/16	10.708	56.89	9.28752	22.007	8.0927	45.549	19.7802	2.203	7.7658	22.868	9.3648	28.16
2020/8/17	11.176	3.938	18.095	1.516	4.8908	17.592	22.53636	8.489	6.3006	6.391	14.2038	24.231
2020/8/18	10.708	38.56	9.28752	20.255	9.0248	29.157	22.53636	10.522	7.7658	9.402	9.3648	29.855
2020/8/19	6.4032	4.817	9.28752	15.9	9.096	11.293	6.63278	2	6.3006	7.141	10.926	39.409
2020/8/20	8.5664	46.776	9.28752	20.891	8.7544	14.348	22.53636	13.159	7.3507	9.887	10.926	36.802
2020/8/21	8.5664	47.75	9.28752	22.791	4.5448	9.422	10.505	11.865	7.3507	11.592	9.3648	23.271
2020/8/22	10.586	5.595	9.28752	21.992	9.22	31.245	22.53636	11.61	7.3507	4.873	9.3648	26.719
2020/8/23	8.8144	15.187	15.51	1.127	9.0248	28.008	10.505	10.926	7.3507	7.824	14.2038	40.565
2020/8/24	8.13808	59.968	15.51	1.202	4.6244	74.578	10.505	9.553	10.607	12.245	9.3648	20.801
2020/8/25	8.13808	70.585	15.51	1.904	4.6244	187.729	22.53636	12.489	7.3507	5.015	10.5354	23.343
2020/8/26	10.586	2.451	9.28752	16.631	4.3368	49.081	27.08916	12.263	13.3128	8.933	9.3648	23.787
2020/8/27	8.624	5.188	15.51	1.845	4.3368	11.583	6.63278	6	8.4008	10.778	13.1112	72.452
2020/8/28	6.4248	133.609	41.9289	1.588	9.22	31.005	27.08916	11.118	8.4008	9.813	9.3648	23.026
2020/8/29	6.4248	114.658	8.4432	65.118	6.9366	44.266	27.08916	12.337	13.7891	15.544	9.3648	24.474
2020/8/30	6.4248	118.332	8.4432	26.934	4.3368	13.771	17.4384	1.209	8.4008	8.122	13.1112	42.367
2020/8/31	8.49376	10.108	8.4432	50.933	9.22	52.387	10.505	11.58	8.5368	4.273	9.3648	27.433
2020/9/1	6.4248	76.121	8.4432	45.554	11.443	15.103	12.606	11.173	8.5368	3.195	9.3648	25.906
2020/9/2	6.4248	62.249	15.51	1.427	6.9366	29.868	10.343	10.02	13.7891	5.462	9.3648	17.659
2020/9/3	6.4248	61.676	15.51	1.294	4.3368	29.485	22.53636	9.921	8.4008	6.63	13.1112	18.804
2020/9/4	6.4248	70.559	8.4432	13.171	8.7544	27.785	17.4384	1.058	8.5368	5.038	9.3648	24.814
2020/9/5	6.4248	81.69	15.51	1.745	10.98528	35.959	19.7802	2.554	8.4008	14.311	13.1112	29.959
